Sigla UF,UF,Admissões,Desligamentos,Saldo,Bolsa Familia,Ano,CadUnico,Faixa Etária,Categoria,Grau de Instrução,Raça/Cor,Setor Econômico,Sexo,Situação de Pobreza
AC,Acre,35646,30948,4698,NÃO,2021,,,,,,,,
AL,Alagoas,133294,113406,19888,NÃO,2021,,,,,,,,
AP,Amapá,29060,25138,3922,NÃO,2021,,,,,,,,
AM,Amazonas,190591,163951,26640,NÃO,2021,,,,,,,,
BA,Bahia,664755,577262,87493,NÃO,2021,,,,,,,,
CE,Ceará,411103,366339,44764,NÃO,2021,,,,,,,,
DF,Distrito Federal,332890,287178,45712,NÃO,2021,,,,,,,,
ES,Espírito Santo,385446,344489,40957,NÃO,2021,,,,,,,,
GO,Goiás,716569,626586,89983,NÃO,2021,,,,,,,,
MA,Maranhão,188439,161680,26759,NÃO,2021,,,,,,,,
MT,Mato Grosso,480026,427076,52950,NÃO,2021,,,,,,,,
MS,Mato Grosso do Sul,285232,252929,32303,NÃO,2021,,,,,,,,
MG,Minas Gerais,2074947,1832208,242739,NÃO,2021,,,,,,,,
PA,Pará,355545,309103,46442,NÃO,2021,,,,,,,,
PB,Paraíba,149403,127769,21634,NÃO,2021,,,,,,,,
PR,Paraná,1487611,1342981,144630,NÃO,2021,,,,,,,,
PE,Pernambuco,444776,386284,58492,NÃO,2021,,,,,,,,
PI,Piauí,100456,89431,11025,NÃO,2021,,,,,,,,
RJ,Rio de Janeiro,1215191,1078640,136551,NÃO,2021,,,,,,,,
RN,Rio Grande do Norte,158482,140042,18440,NÃO,2021,,,,,,,,
RS,Rio Grande do Sul,1236276,1118608,117668,NÃO,2021,,,,,,,,
RO,Rondônia,132479,119516,12963,NÃO,2021,,,,,,,,
RR,Roraima,33204,29794,3410,NÃO,2021,,,,,,,,
SC,Santa Catarina,1349273,1212151,137122,NÃO,2021,,,,,,,,
SP,São Paulo,5883533,5280636,602897,NÃO,2021,,,,,,,,
SE,Sergipe,88717,81257,7460,NÃO,2021,,,,,,,,
TO,Tocantins,93223,79621,13602,NÃO,2021,,,,,,,,
Não informado,Não informado,120095,113480,6615,NÃO,2021,,,,,,,,
AC,Acre,7853,4509,3344,SIM,2021,,,,,,,,
AL,Alagoas,30827,19556,11271,SIM,2021,,,,,,,,
AP,Amapá,5759,3418,2341,SIM,2021,,,,,,,,
AM,Amazonas,28076,17625,10451,SIM,2021,,,,,,,,
